id,host_since,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
52847183,2013-2016,f,San Jose,37.22437,-121.77804,Entire home/apt,Couple,2.0,1.0,120.0,2,8,2,5.0,5.0,4.5,5.0,5.0,5.0,0.3
52621615,2013-2016,f,San Jose,37.30414,-121.89679,Entire home/apt,Small groups,1.6826220231077575,1.0,142.0,28,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52859408,2017-2020,t,San Jose,37.40989,-121.88269,Private room,Single,1.0,1.0,68.0,30,90,3,5.0,5.0,5.0,5.0,5.0,5.0,0.42
52863371,2013-2016,t,San Jose,37.3466,-121.86726,Private room,Single,1.0,1.0,86.0,1,1125,18,4.94,4.94,4.89,4.94,4.89,4.94,3.31
52628173,2017-2020,t,San Jose,37.2482,-121.80535,Entire home/apt,Small groups,1.0,3.0,143.0,1,90,41,4.88,4.76,4.95,4.93,4.88,4.76,5.72
52631232,2013-2016,f,San Jose,37.39148,-121.86612,Entire home/apt,Small groups,2.0,2.0,206.0,31,365,1,4.0,5.0,5.0,5.0,5.0,4.0,1.0
52635540,2017-2020,f,San Jose,37.38788,-121.88914,Entire home/apt,Small groups,2.0,2.0,125.0,1,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52865459,2021-2022,f,Palo Alto,37.42796,-122.12489,Private room,Couple,1.0,1.0,48.0,1,365,9,3.89,4.0,4.0,4.11,4.33,4.44,1.32
52878072,2017-2020,f,San Jose,37.30934,-121.90279,Entire home/apt,Couple,1.0,1.0,99.0,3,180,21,4.81,4.86,4.95,4.9,4.95,4.76,2.83
52639760,2009-2012,f,San Jose,37.34367,-121.88911,Private room,Couple,1.0,1.0,79.0,2,90,5,4.2,4.2,4.6,4.2,4.6,4.0,0.63
52882581,2013-2016,f,San Jose,37.33963,-121.86537,Entire home/apt,Small groups,3.0,3.0,205.0,7,365,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52883176,2021-2022,f,Palo Alto,37.42799,-122.12571,Private room,Couple,1.0,1.0,60.0,1,365,33,4.73,4.73,4.82,4.73,4.91,4.85,4.19
52887522,2013-2016,t,Santa Clara,37.35339,-121.95361,Private room,Couple,1.0,1.0,89.0,1,365,8,4.88,4.75,4.88,4.63,4.88,4.63,1.08
52639983,2021-2022,f,Palo Alto,37.44023,-122.14394,Private room,Couple,1.0,1.0,139.0,2,30,2,5.0,5.0,5.0,5.0,5.0,5.0,0.88
52643730,2013-2016,f,Mountain View,37.398876,-122.093124,Entire home/apt,Small groups,2.0,2.0,208.0,31,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52643760,2013-2016,f,Mountain View,37.398876,-122.093124,Entire home/apt,Small groups,2.0,2.0,211.0,31,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52643880,2013-2016,f,Sunnyvale,37.382362,-122.012909,Entire home/apt,Couple,1.0,1.0,230.0,31,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
